"beta_hat","beta","gamma","sigma","distribution","g","r"
0.0346915459974004,0.05,0.5,0.5,"normal",4,472
-0.499940592913085,0.05,0.5,0.5,"normal",4,472
0.323830809994591,0.05,0.5,0.5,"normal",4,472
-0.285246264529514,0.05,0.5,0.5,"normal",4,472
-1.06700413426883,0.05,0.5,0.5,"normal",4,472
-1.14463070300564,0.05,0.5,0.5,"normal",4,472
-0.0739086004810434,0.05,0.5,0.5,"normal",4,472
0.293860232316766,0.05,0.5,0.5,"normal",4,472
-0.650569380776558,0.05,0.5,0.5,"normal",4,472
0.135991497014481,0.05,0.5,0.5,"normal",4,472
-0.494930460286768,0.05,0.5,0.5,"normal",4,472
0.459392104748212,0.05,0.5,0.5,"normal",4,472
-0.510595646845995,0.05,0.5,0.5,"normal",4,472
-0.187246949745668,0.05,0.5,0.5,"normal",4,472
0.000354726964284801,0.05,0.5,0.5,"normal",4,472
0.297581630871425,0.05,0.5,0.5,"normal",4,472
0.401090145298947,0.05,0.5,0.5,"normal",4,472
0.712799150612971,0.05,0.5,0.5,"normal",4,472
0.236156772605106,0.05,0.5,0.5,"normal",4,472
1.28147644775116,0.05,0.5,0.5,"normal",4,472
0.29613180771173,0.05,0.5,0.5,"normal",4,472
-0.155067186090936,0.05,0.5,0.5,"normal",4,472
-0.216568415496496,0.05,0.5,0.5,"normal",4,472
-0.158948671397378,0.05,0.5,0.5,"normal",4,472
0.574593471413636,0.05,0.5,0.5,"normal",4,472
-0.191316670952351,0.05,0.5,0.5,"normal",4,472
0.410624270959436,0.05,0.5,0.5,"normal",4,472
0.31278239187554,0.05,0.5,0.5,"normal",4,472
0.67222786118333,0.05,0.5,0.5,"normal",4,472
0.0836484233289671,0.05,0.5,0.5,"normal",4,472
0.312016487824224,0.05,0.5,0.5,"normal",6,313
0.173080281743404,0.05,0.5,0.5,"normal",6,313
0.435846605275122,0.05,0.5,0.5,"normal",6,313
-0.0353288149125158,0.05,0.5,0.5,"normal",6,313
0.388169241874654,0.05,0.5,0.5,"normal",6,313
0.205359956645613,0.05,0.5,0.5,"normal",6,313
0.348289404423502,0.05,0.5,0.5,"normal",6,313
-0.0483218185111731,0.05,0.5,0.5,"normal",6,313
0.213985573146085,0.05,0.5,0.5,"normal",6,313
-0.676417703487018,0.05,0.5,0.5,"normal",6,313
-0.777626886113618,0.05,0.5,0.5,"normal",6,313
0.355758129131614,0.05,0.5,0.5,"normal",6,313
-0.0916723016259837,0.05,0.5,0.5,"normal",6,313
-0.532638233785277,0.05,0.5,0.5,"normal",6,313
0.303794492772682,0.05,0.5,0.5,"normal",6,313
-0.297396340754984,0.05,0.5,0.5,"normal",6,313
0.33799244301461,0.05,0.5,0.5,"normal",6,313
0.149593173142919,0.05,0.5,0.5,"normal",6,313
-0.550982080519213,0.05,0.5,0.5,"normal",6,313
-0.523718728827178,0.05,0.5,0.5,"normal",6,313
0.455500779018718,0.05,0.5,0.5,"normal",6,313
0.151202762798762,0.05,0.5,0.5,"normal",6,313
-0.234358652935963,0.05,0.5,0.5,"normal",6,313
0.229597274100726,0.05,0.5,0.5,"normal",6,313
0.655348043047714,0.05,0.5,0.5,"normal",6,313
0.13412460667831,0.05,0.5,0.5,"normal",6,313
-0.0717101551109335,0.05,0.5,0.5,"normal",6,313
0.232130787056883,0.05,0.5,0.5,"normal",6,313
-0.0506690486358824,0.05,0.5,0.5,"normal",6,313
-0.478874944624882,0.05,0.5,0.5,"normal",6,313
-0.108471179423593,0.05,0.5,0.5,"normal",8,234
0.465584859293175,0.05,0.5,0.5,"normal",8,234
0.199645280456411,0.05,0.5,0.5,"normal",8,234
-0.162008324165436,0.05,0.5,0.5,"normal",8,234
0.422428347294496,0.05,0.5,0.5,"normal",8,234
0.0121808819248179,0.05,0.5,0.5,"normal",8,234
0.275825629968556,0.05,0.5,0.5,"normal",8,234
-0.456134723521884,0.05,0.5,0.5,"normal",8,234
0.144734539097688,0.05,0.5,0.5,"normal",8,234
-0.134299296075913,0.05,0.5,0.5,"normal",8,234
-0.203704797808673,0.05,0.5,0.5,"normal",8,234
0.328848407843996,0.05,0.5,0.5,"normal",8,234
0.237382771466661,0.05,0.5,0.5,"normal",8,234
0.112818970876188,0.05,0.5,0.5,"normal",8,234
0.0657745250085127,0.05,0.5,0.5,"normal",8,234
0.0170375384061451,0.05,0.5,0.5,"normal",8,234
0.556320667919084,0.05,0.5,0.5,"normal",8,234
-0.0181514115325821,0.05,0.5,0.5,"normal",8,234
-0.099933680848609,0.05,0.5,0.5,"normal",8,234
0.485743578719177,0.05,0.5,0.5,"normal",8,234
0.0885018048283722,0.05,0.5,0.5,"normal",8,234
-0.63284500984819,0.05,0.5,0.5,"normal",8,234
-0.256818200325648,0.05,0.5,0.5,"normal",8,234
0.602523059220986,0.05,0.5,0.5,"normal",8,234
0.481243898006584,0.05,0.5,0.5,"normal",8,234
-0.0356310814445151,0.05,0.5,0.5,"normal",8,234
-0.640343311595548,0.05,0.5,0.5,"normal",8,234
-0.231308319079525,0.05,0.5,0.5,"normal",8,234
0.318806886233848,0.05,0.5,0.5,"normal",8,234
0.621295811198487,0.05,0.5,0.5,"normal",8,234
-0.10599771232236,0.05,0.5,0.5,"normal",10,187
-0.522901613250664,0.05,0.5,0.5,"normal",10,187
0.244207745185902,0.05,0.5,0.5,"normal",10,187
0.366441540971356,0.05,0.5,0.5,"normal",10,187
-0.146694185641813,0.05,0.5,0.5,"normal",10,187
0.565049023697418,0.05,0.5,0.5,"normal",10,187
0.113536194902977,0.05,0.5,0.5,"normal",10,187
-0.0352077061921732,0.05,0.5,0.5,"normal",10,187
-0.433134708724366,0.05,0.5,0.5,"normal",10,187
0.323589504221729,0.05,0.5,0.5,"normal",10,187
-0.379793064472722,0.05,0.5,0.5,"normal",10,187
0.00443492297260436,0.05,0.5,0.5,"normal",10,187
-0.0592345972774955,0.05,0.5,0.5,"normal",10,187
-0.0570499472233471,0.05,0.5,0.5,"normal",10,187
-0.0951596830798324,0.05,0.5,0.5,"normal",10,187
0.0571259788860938,0.05,0.5,0.5,"normal",10,187
1.15886785343625,0.05,0.5,0.5,"normal",10,187
-0.127661805626599,0.05,0.5,0.5,"normal",10,187
-0.0512864397746599,0.05,0.5,0.5,"normal",10,187
-0.0926043857038237,0.05,0.5,0.5,"normal",10,187
0.0979730378663577,0.05,0.5,0.5,"normal",10,187
1.18766593995214,0.05,0.5,0.5,"normal",10,187
0.203344472466643,0.05,0.5,0.5,"normal",10,187
-0.0124055365942538,0.05,0.5,0.5,"normal",10,187
0.0661838145861685,0.05,0.5,0.5,"normal",10,187
-0.443262163449909,0.05,0.5,0.5,"normal",10,187
-0.561544320749629,0.05,0.5,0.5,"normal",10,187
