"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
5.21012564939932,4,1,0.5,"poisson",4,472,1.9e+07
3.13028067925604,4,1,0.5,"poisson",4,472,1.9e+07
2.01034202200551,4,1,0.5,"poisson",4,472,1.9e+07
3.99487704972343,4,1,0.5,"poisson",4,472,1.9e+07
5.05353704588737,4,1,0.5,"poisson",4,472,1.9e+07
4.47277547050813,4,1,0.5,"poisson",4,472,1.9e+07
3.12164466871858,4,1,0.5,"poisson",4,472,1.9e+07
4.23944689436882,4,1,0.5,"poisson",4,472,1.9e+07
2.48128667379622,4,1,0.5,"poisson",4,472,1.9e+07
4.56362584757416,4,1,0.5,"poisson",4,472,1.9e+07
4.37901853373935,4,1,0.5,"poisson",4,472,1.9e+07
3.08905161858065,4,1,0.5,"poisson",4,472,1.9e+07
3.10061787418516,4,1,0.5,"poisson",4,472,1.9e+07
2.63214601334594,4,1,0.5,"poisson",4,472,1.9e+07
5.30139972873506,4,1,0.5,"poisson",4,472,1.9e+07
4.72149795060389,4,1,0.5,"poisson",4,472,1.9e+07
2.79087448187461,4,1,0.5,"poisson",4,472,1.9e+07
5.02109692216395,4,1,0.5,"poisson",4,472,1.9e+07
4.0797116231861,4,1,0.5,"poisson",4,472,1.9e+07
4.14313286823308,4,1,0.5,"poisson",4,472,1.9e+07
3.35848582354194,4,1,0.5,"poisson",4,472,1.9e+07
4.0044174987234,4,1,0.5,"poisson",4,472,1.9e+07
5.26951931964192,4,1,0.5,"poisson",4,472,1.9e+07
4.61351479195147,4,1,0.5,"poisson",4,472,1.9e+07
4.07346014565613,4,1,0.5,"poisson",4,472,1.9e+07
3.86661076654405,4,1,0.5,"poisson",4,472,1.9e+07
4.13804807207178,4,1,0.5,"poisson",4,472,1.9e+07
2.75736085853123,4,1,0.5,"poisson",4,472,1.9e+07
4.36240777317547,4,1,0.5,"poisson",4,472,1.9e+07
3.69760752836218,4,1,0.5,"poisson",4,472,1.9e+07
4.84020487834865,4,1,0.5,"poisson",4,472,1.9e+07
4.77191302130396,4,1,0.5,"poisson",4,472,1.9e+07
5.65612413148146,4,1,0.5,"poisson",4,472,1.9e+07
6.30954979088729,4,1,0.5,"poisson",4,472,1.9e+07
4.0181168141129,4,1,0.5,"poisson",4,472,1.9e+07
5.56050483552895,4,1,0.5,"poisson",4,472,1.9e+07
3.77035106151245,4,1,0.5,"poisson",4,472,1.9e+07
3.24059854479252,4,1,0.5,"poisson",4,472,1.9e+07
3.41339703815594,4,1,0.5,"poisson",4,472,1.9e+07
4.71497565102818,4,1,0.5,"poisson",4,472,1.9e+07
5.42114375789936,4,1,0.5,"poisson",4,472,1.9e+07
4.60670950125485,4,1,0.5,"poisson",4,472,1.9e+07
4.44384819391528,4,1,0.5,"poisson",4,472,1.9e+07
5.19766505159877,4,1,0.5,"poisson",4,472,1.9e+07
3.06752143218689,4,1,0.5,"poisson",4,472,1.9e+07
5.74646101126961,4,1,0.5,"poisson",4,472,1.9e+07
