"beta_hat","beta","gamma","sigma","distribution","g","r"
3.97902999545255,4,0.005,0.5,"normal",4,262
3.97657366018639,4,0.005,0.5,"normal",4,262
3.99114149100515,4,0.005,0.5,"normal",4,262
3.96707522952659,4,0.005,0.5,"normal",4,262
4.03017799196435,4,0.005,0.5,"normal",4,262
4.04325152543901,4,0.005,0.5,"normal",4,262
3.96606293398724,4,0.005,0.5,"normal",4,262
4.03993283163635,4,0.005,0.5,"normal",4,262
3.95699043074154,4,0.005,0.5,"normal",4,262
4.01897557439151,4,0.005,0.5,"normal",4,262
4.01535633114629,4,0.005,0.5,"normal",4,262
3.9831513909845,4,0.005,0.5,"normal",4,262
3.98475800680457,4,0.005,0.5,"normal",4,262
3.99722276762486,4,0.005,0.5,"normal",4,262
4.01761943224485,4,0.005,0.5,"normal",4,262
4.00956025087808,4,0.005,0.5,"normal",4,262
4.00317335540408,4,0.005,0.5,"normal",4,262
4.00735517946921,4,0.005,0.5,"normal",4,262
4.01507327973095,4,0.005,0.5,"normal",4,262
3.99924912252337,4,0.005,0.5,"normal",4,262
3.98423290623781,4,0.005,0.5,"normal",4,262
4.01358358355083,4,0.005,0.5,"normal",4,262
4.05237700279473,4,0.005,0.5,"normal",4,262
3.96714633017611,4,0.005,0.5,"normal",4,262
4.02613010135653,4,0.005,0.5,"normal",4,262
3.96973404322649,4,0.005,0.5,"normal",4,262
4.02352792193636,4,0.005,0.5,"normal",4,262
4.0104178683024,4,0.005,0.5,"normal",4,262
4.0128252474379,4,0.005,0.5,"normal",4,262
3.99469814069331,4,0.005,0.5,"normal",4,262
4.00144900283506,4,0.005,0.5,"normal",4,262
4.01293552450151,4,0.005,0.5,"normal",4,262
3.96929004174217,4,0.005,0.5,"normal",4,262
3.96706711601865,4,0.005,0.5,"normal",4,262
3.97792310457392,4,0.005,0.5,"normal",4,262
4.00057940231991,4,0.005,0.5,"normal",4,262
3.98319168924228,4,0.005,0.5,"normal",4,262
4.01120626895918,4,0.005,0.5,"normal",4,262
4.02885463891304,4,0.005,0.5,"normal",4,262
3.98309633925511,4,0.005,0.5,"normal",4,262
4.00784455806318,4,0.005,0.5,"normal",4,262
4.01048328230317,4,0.005,0.5,"normal",4,262
3.99487606102129,4,0.005,0.5,"normal",4,262
4.00878777921636,4,0.005,0.5,"normal",4,262
4.04182705319987,4,0.005,0.5,"normal",4,262
4.00900385279374,4,0.005,0.5,"normal",4,262
3.9774990110865,4,0.005,0.5,"normal",4,262
3.98547137140398,4,0.005,0.5,"normal",4,262
4.0040471762409,4,0.005,0.5,"normal",4,262
