"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
4.04407580478518,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97226548031417,4,0.05,0.5,"normal",4,9421,1.9e+07
4.07517949619263,4,0.05,0.5,"normal",4,9421,1.9e+07
4.07841585343422,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0131602077549,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03596100614982,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9803754267504,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96971726850378,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95058620233617,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0311055320892,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97816204877408,4,0.05,0.5,"normal",4,9421,1.9e+07
3.89670055980126,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05257830717391,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96109473641167,4,0.05,0.5,"normal",4,9421,1.9e+07
3.93204034225692,4,0.05,0.5,"normal",4,9421,1.9e+07
4.08030394287523,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01066908526535,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99491708673691,4,0.05,0.5,"normal",4,9421,1.9e+07
4.09187493655863,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97524437293034,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02512652180865,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94590997913405,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00112869525982,4,0.05,0.5,"normal",4,9421,1.9e+07
3.93041678207621,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98912145549534,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94496476124423,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00456009851878,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00275250503111,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00340766530917,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04798526422653,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05731746702074,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97481555168117,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97137496314582,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00675957280404,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99841446030217,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01380019295163,4,0.05,0.5,"normal",4,9421,1.9e+07
3.88504923584212,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99729022472127,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05762329356413,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92196043030623,4,0.05,0.5,"normal",4,9421,1.9e+07
3.89816460182681,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97913806394467,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92278195663539,4,0.05,0.5,"normal",4,9421,1.9e+07
4.10320201208228,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05730842163679,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98418669834432,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96527643586354,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92788432644702,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05305755825012,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97501367571802,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02342360039765,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97950135816236,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00125058287499,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03289374951353,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94501748366776,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99352211199538,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0896144642337,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0570302956643,4,0.05,0.5,"normal",4,9421,1.9e+07
4.07314840035765,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06439793663621,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00256430960337,4,0.05,0.5,"normal",4,9421,1.9e+07
4.09474582422328,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94075716152081,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99915496003215,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98032016903317,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02462127371944,4,0.05,0.5,"normal",4,9421,1.9e+07
4.07654926966835,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03567850200264,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0511218397067,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04522050540131,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0221972279069,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95531447922085,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98771231225494,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94702286784035,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9981921053989,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97230374632715,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00227862397572,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96245167328882,4,0.05,0.5,"normal",4,9421,1.9e+07
3.90066366892159,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97822239389447,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03967747024627,4,0.05,0.5,"normal",4,9421,1.9e+07
4.13358444214121,4,0.05,0.5,"normal",4,9421,1.9e+07
3.93473610437132,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99266542771895,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9997350142787,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04821309703731,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01513055615904,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92461411179883,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94971890481347,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94490771671311,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96548807271732,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9514153522251,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9477890764986,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06333815118,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02163746695749,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02334106277008,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98322365935624,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99578430773968,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03382286013047,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00730775151386,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0203549923729,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04117982125219,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95294318938595,4,0.05,0.5,"normal",4,9421,1.9e+07
4.08491851897384,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9354224135411,4,0.05,0.5,"normal",4,9421,1.9e+07
3.90228279265627,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99309009318005,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97993291886639,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01247771671273,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03640730889037,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94881247212247,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06080615639739,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98740200556182,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02986993987535,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03725411534839,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92602343202515,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05091225221846,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00228129671068,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06356306827542,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06236993976145,4,0.05,0.5,"normal",4,9421,1.9e+07
4.09313970401728,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01626632107347,4,0.05,0.5,"normal",4,9421,1.9e+07
4.11939115917898,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95821228485513,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00389678236303,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9559559919818,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9682651832689,4,0.05,0.5,"normal",4,9421,1.9e+07
4.06922344102047,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00980319705559,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0876994754519,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04745916464751,4,0.05,0.5,"normal",4,9421,1.9e+07
3.87400598912594,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99996294507439,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95510213504454,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97893654259104,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96943412269909,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96865673896955,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02132264683486,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96555618851057,4,0.05,0.5,"normal",4,9421,1.9e+07
4.08254148464983,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97588863144268,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98669977438046,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02239197359477,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99587971432665,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96180042957639,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9772568637797,4,0.05,0.5,"normal",4,9421,1.9e+07
4.08750481005324,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03789960038061,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01937859751253,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00566701173223,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96912813269783,4,0.05,0.5,"normal",4,9421,1.9e+07
3.93955085884031,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02427589731432,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98971558293159,4,0.05,0.5,"normal",4,9421,1.9e+07
3.91603031693542,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00470152861335,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01873430599589,4,0.05,0.5,"normal",4,9421,1.9e+07
4.020874192893,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03293767265048,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0315731471082,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95640163825647,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97006114060196,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98340938636197,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95038902981878,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02682601513405,4,0.05,0.5,"normal",4,9421,1.9e+07
4.09839245694427,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99623068329769,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9406296409411,4,0.05,0.5,"normal",4,9421,1.9e+07
3.92843776994118,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9692919285626,4,0.05,0.5,"normal",4,9421,1.9e+07
3.89693716758462,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01296710874483,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03969810696967,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00190612455675,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98790926310844,4,0.05,0.5,"normal",4,9421,1.9e+07
3.94872651759238,4,0.05,0.5,"normal",4,9421,1.9e+07
3.98357287780023,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00173972482878,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97578365666988,4,0.05,0.5,"normal",4,9421,1.9e+07
3.90197282708501,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9786724972814,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01781259093592,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95272306807789,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02493147210492,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97739937077511,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9970418837787,4,0.05,0.5,"normal",4,9421,1.9e+07
3.90255065243483,4,0.05,0.5,"normal",4,9421,1.9e+07
3.90651892884791,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05835601151265,4,0.05,0.5,"normal",4,9421,1.9e+07
3.97423253787932,4,0.05,0.5,"normal",4,9421,1.9e+07
4.019719036632,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05359076955388,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03411238161937,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01884872030827,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99498308121144,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9941163968003,4,0.05,0.5,"normal",4,9421,1.9e+07
4.01423980862956,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95369924109776,4,0.05,0.5,"normal",4,9421,1.9e+07
4.08056208104459,4,0.05,0.5,"normal",4,9421,1.9e+07
4.04347031296023,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96252701812726,4,0.05,0.5,"normal",4,9421,1.9e+07
3.99483723978573,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0365382140922,4,0.05,0.5,"normal",4,9421,1.9e+07
3.96202316899369,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00156350047006,4,0.05,0.5,"normal",4,9421,1.9e+07
4.02554362615412,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9830594234553,4,0.05,0.5,"normal",4,9421,1.9e+07
4.00255007030788,4,0.05,0.5,"normal",4,9421,1.9e+07
4.07842735420024,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9166752228023,4,0.05,0.5,"normal",4,9421,1.9e+07
4.0774485771748,4,0.05,0.5,"normal",4,9421,1.9e+07
4.05407920109508,4,0.05,0.5,"normal",4,9421,1.9e+07
4.03661235428471,4,0.05,0.5,"normal",4,9421,1.9e+07
3.95421288486174,4,0.05,0.5,"normal",4,9421,1.9e+07
3.93153723730358,4,0.05,0.5,"normal",4,9421,1.9e+07
3.9829401444462,4,0.05,0.5,"normal",4,9421,1.9e+07
