"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.9489432744965,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.87031341496578,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.96510947018051,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.11677432279506,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.99516058313828,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.95932608107606,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.98212143368874,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.94389257329895,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.93288147885334,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.00324972416495,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.04759381959451,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.93312437863067,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.01213985061427,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.09841144893334,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.97386420567441,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.05316689604427,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.02191229578317,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.96355615591632,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.9618911121947,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.04338204299672,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.94431552648769,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.062461820654,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.0238808956093,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.04613803148064,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.94573407706784,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.06390426176658,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.02313019110544,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.03147203224402,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.98887171392322,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.00490025419515,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.97453257114061,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.95583140505078,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.97958302743529,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.96013945761572,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.0063382806486,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.94479914197633,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.00592963905022,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.01730131131066,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.05043674425268,4,0.05,0.5,"poisson",4,9421,1.9e+07
3.91205450696778,4,0.05,0.5,"poisson",4,9421,1.9e+07
4.01560307465947,4,0.05,0.5,"poisson",4,9421,1.9e+07
