"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
6.61070695683744,4,5,0.5,"normal",4,472,1.9e+07
5.1982128027928,4,5,0.5,"normal",4,472,1.9e+07
6.51721862263563,4,5,0.5,"normal",4,472,1.9e+07
5.96798369885297,4,5,0.5,"normal",4,472,1.9e+07
14.0040188062383,4,5,0.5,"normal",4,472,1.9e+07
8.82615513808129,4,5,0.5,"normal",4,472,1.9e+07
-1.99514502905283,4,5,0.5,"normal",4,472,1.9e+07
5.61404741632814,4,5,0.5,"normal",4,472,1.9e+07
0.354671791008874,4,5,0.5,"normal",4,472,1.9e+07
3.27872620276002,4,5,0.5,"normal",4,472,1.9e+07
12.447003552495,4,5,0.5,"normal",4,472,1.9e+07
1.04115332562488,4,5,0.5,"normal",4,472,1.9e+07
4.59124962244262,4,5,0.5,"normal",4,472,1.9e+07
-0.8889037058619,4,5,0.5,"normal",4,472,1.9e+07
7.21147374181736,4,5,0.5,"normal",4,472,1.9e+07
2.77049666740667,4,5,0.5,"normal",4,472,1.9e+07
8.1011251389819,4,5,0.5,"normal",4,472,1.9e+07
6.92054608153925,4,5,0.5,"normal",4,472,1.9e+07
-15.0537300314568,4,5,0.5,"normal",4,472,1.9e+07
4.39786860204191,4,5,0.5,"normal",4,472,1.9e+07
1.05891550879623,4,5,0.5,"normal",4,472,1.9e+07
9.25990240749488,4,5,0.5,"normal",4,472,1.9e+07
1.09548576647373,4,5,0.5,"normal",4,472,1.9e+07
-0.942872585335365,4,5,0.5,"normal",4,472,1.9e+07
0.0962190256386034,4,5,0.5,"normal",4,472,1.9e+07
5.27974018102641,4,5,0.5,"normal",4,472,1.9e+07
7.91080231795297,4,5,0.5,"normal",4,472,1.9e+07
-0.81265267214736,4,5,0.5,"normal",4,472,1.9e+07
6.19851599139863,4,5,0.5,"normal",4,472,1.9e+07
5.28265791346782,4,5,0.5,"normal",4,472,1.9e+07
5.1160831897068,4,5,0.5,"normal",4,472,1.9e+07
-1.19357559878254,4,5,0.5,"normal",4,472,1.9e+07
2.77905126834173,4,5,0.5,"normal",4,472,1.9e+07
2.18806713453555,4,5,0.5,"normal",4,472,1.9e+07
5.86398297424545,4,5,0.5,"normal",4,472,1.9e+07
-4.18398038225005,4,5,0.5,"normal",4,472,1.9e+07
0.38095037414378,4,5,0.5,"normal",4,472,1.9e+07
-6.19077807560083,4,5,0.5,"normal",4,472,1.9e+07
3.55025855215228,4,5,0.5,"normal",4,472,1.9e+07
1.75179087529684,4,5,0.5,"normal",4,472,1.9e+07
7.59729851225555,4,5,0.5,"normal",4,472,1.9e+07
-5.09351393883621,4,5,0.5,"normal",4,472,1.9e+07
-4.53206101027135,4,5,0.5,"normal",4,472,1.9e+07
-4.58772745452121,4,5,0.5,"normal",4,472,1.9e+07
10.9006611068748,4,5,0.5,"normal",4,472,1.9e+07
-0.5332268742879,4,5,0.5,"normal",4,472,1.9e+07
8.73229332572194,4,5,0.5,"normal",4,472,1.9e+07
0.524427268767395,4,5,0.5,"normal",4,472,1.9e+07
-0.429654117220849,4,5,0.5,"normal",4,472,1.9e+07
