"beta_hat","beta","gamma","sigma","distribution","g","r"
-1.11448375224581,0.05,0.5,0.5,"normal",4,262
0.493754219156976,0.05,0.5,0.5,"normal",4,262
-0.62337093087164,0.05,0.5,0.5,"normal",4,262
0.577951261460184,0.05,0.5,0.5,"normal",4,262
0.194262924759355,0.05,0.5,0.5,"normal",4,262
0.711113266482074,0.05,0.5,0.5,"normal",4,262
0.124170906781188,0.05,0.5,0.5,"normal",4,262
-0.361035351070748,0.05,0.5,0.5,"normal",4,262
0.103815997274711,0.05,0.5,0.5,"normal",4,262
-0.776801743663244,0.05,0.5,0.5,"normal",4,262
0.132080048603837,0.05,0.5,0.5,"normal",4,262
-0.736742612051326,0.05,0.5,0.5,"normal",4,262
-0.16365153700411,0.05,0.5,0.5,"normal",4,262
0.467397464126595,0.05,0.5,0.5,"normal",4,262
1.00919892043186,0.05,0.5,0.5,"normal",4,262
0.0287878166476724,0.05,0.5,0.5,"normal",4,262
-0.420878613070474,0.05,0.5,0.5,"normal",4,262
0.604324972211595,0.05,0.5,0.5,"normal",4,262
-0.140548466239845,0.05,0.5,0.5,"normal",4,262
0.369900050126787,0.05,0.5,0.5,"normal",4,262
-0.0225071636875817,0.05,0.5,0.5,"normal",4,262
0.306270005353672,0.05,0.5,0.5,"normal",4,262
0.176923522609418,0.05,0.5,0.5,"normal",4,262
0.321965713892676,0.05,0.5,0.5,"normal",4,262
-0.276548723500357,0.05,0.5,0.5,"normal",4,262
0.0250237902847268,0.05,0.5,0.5,"normal",4,262
0.00942051561652954,0.05,0.5,0.5,"normal",4,262
-0.406694943540199,0.05,0.5,0.5,"normal",4,262
-0.71951083741907,0.05,0.5,0.5,"normal",4,262
-0.0816905287484272,0.05,0.5,0.5,"normal",4,262
0.0278574903972291,0.05,0.5,0.5,"normal",6,174
-0.541045725773827,0.05,0.5,0.5,"normal",6,174
-0.224064192233807,0.05,0.5,0.5,"normal",6,174
0.251528232995937,0.05,0.5,0.5,"normal",6,174
-0.0858172471335625,0.05,0.5,0.5,"normal",6,174
-0.522976718756717,0.05,0.5,0.5,"normal",6,174
-0.438673718083073,0.05,0.5,0.5,"normal",6,174
-0.0558852391965276,0.05,0.5,0.5,"normal",6,174
0.0403908475601189,0.05,0.5,0.5,"normal",6,174
-0.848852166678057,0.05,0.5,0.5,"normal",6,174
0.703425942655531,0.05,0.5,0.5,"normal",6,174
0.0560488707272317,0.05,0.5,0.5,"normal",6,174
0.724022582467536,0.05,0.5,0.5,"normal",6,174
-0.0248555894509679,0.05,0.5,0.5,"normal",6,174
-0.0381270744210394,0.05,0.5,0.5,"normal",6,174
-0.708864238777032,0.05,0.5,0.5,"normal",6,174
-0.0146726181202397,0.05,0.5,0.5,"normal",6,174
0.241282479014432,0.05,0.5,0.5,"normal",6,174
0.547127302058155,0.05,0.5,0.5,"normal",6,174
-0.272693657519914,0.05,0.5,0.5,"normal",6,174
0.336211978261861,0.05,0.5,0.5,"normal",6,174
0.350611455991194,0.05,0.5,0.5,"normal",6,174
-0.0359218211676654,0.05,0.5,0.5,"normal",6,174
-0.322314440847399,0.05,0.5,0.5,"normal",6,174
0.453613600196783,0.05,0.5,0.5,"normal",6,174
0.0183704012281537,0.05,0.5,0.5,"normal",6,174
0.191802695892322,0.05,0.5,0.5,"normal",6,174
0.343675456218367,0.05,0.5,0.5,"normal",6,174
-0.539501793449767,0.05,0.5,0.5,"normal",6,174
0.131760556703366,0.05,0.5,0.5,"normal",6,174
-0.228331260987176,0.05,0.5,0.5,"normal",8,130
