"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
4.02611332958064,4,0.05,0.5,"normal",4,262,18952000
4.01597635514972,4,0.05,0.5,"normal",4,262,18952000
4.06181623474765,4,0.05,0.5,"normal",4,262,18952000
3.9877619782462,4,0.05,0.5,"normal",4,262,18952000
3.92352026149177,4,0.05,0.5,"normal",4,262,18952000
3.91893296335656,4,0.05,0.5,"normal",4,262,18952000
4.01590340904311,4,0.05,0.5,"normal",4,262,18952000
3.97493236986886,4,0.05,0.5,"normal",4,262,18952000
4.03053809459095,4,0.05,0.5,"normal",4,262,18952000
3.99026203137323,4,0.05,0.5,"normal",4,262,18952000
4.0179289920261,4,0.05,0.5,"normal",6,174,18924000
3.94744096821545,4,0.05,0.5,"normal",6,174,18924000
3.98961516653833,4,0.05,0.5,"normal",6,174,18924000
4.14297332892084,4,0.05,0.5,"normal",6,174,18924000
4.08492009819959,4,0.05,0.5,"normal",6,174,18924000
3.94625994217391,4,0.05,0.5,"normal",6,174,18924000
4.03183162563128,4,0.05,0.5,"normal",6,174,18924000
3.99500296761298,4,0.05,0.5,"normal",6,174,18924000
3.93598015475123,4,0.05,0.5,"normal",6,174,18924000
4.09138942567055,4,0.05,0.5,"normal",6,174,18924000
3.95317345140944,4,0.05,0.5,"normal",8,130,18896000
3.98741232261865,4,0.05,0.5,"normal",8,130,18896000
3.88414855255257,4,0.05,0.5,"normal",8,130,18896000
3.96219948545658,4,0.05,0.5,"normal",8,130,18896000
4.01038884894661,4,0.05,0.5,"normal",8,130,18896000
4.04841817626532,4,0.05,0.5,"normal",8,130,18896000
3.88885199436544,4,0.05,0.5,"normal",8,130,18896000
4.06363712356438,4,0.05,0.5,"normal",8,130,18896000
4.00730344359757,4,0.05,0.5,"normal",8,130,18896000
4.04666002449357,4,0.05,0.5,"normal",8,130,18896000
3.94017064442061,4,0.05,0.5,"normal",10,104,18940000
4.01554746559154,4,0.05,0.5,"normal",10,104,18940000
3.97868911860471,4,0.05,0.5,"normal",10,104,18940000
3.96013288811657,4,0.05,0.5,"normal",10,104,18940000
3.949426685164,4,0.05,0.5,"normal",10,104,18940000
4.00069766805155,4,0.05,0.5,"normal",10,104,18940000
4.0054603863083,4,0.05,0.5,"normal",10,104,18940000
3.98520878204335,4,0.05,0.5,"normal",10,104,18940000
4.02545973824222,4,0.05,0.5,"normal",10,104,18940000
3.86965935616804,4,0.05,0.5,"normal",10,104,18940000
4.02133419832799,4,0.05,0.5,"normal",12,86,18840000
3.98323855951871,4,0.05,0.5,"normal",12,86,18840000
3.91544060138443,4,0.05,0.5,"normal",12,86,18840000
3.98877913289309,4,0.05,0.5,"normal",12,86,18840000
4.02710371199005,4,0.05,0.5,"normal",12,86,18840000
4.04889447268918,4,0.05,0.5,"normal",12,86,18840000
4.02037981776549,4,0.05,0.5,"normal",12,86,18840000
4.0459134470891,4,0.05,0.5,"normal",12,86,18840000
3.97760678282315,4,0.05,0.5,"normal",12,86,18840000
3.96208178855834,4,0.05,0.5,"normal",12,86,18840000
3.97731734620496,4,0.05,0.5,"normal",14,74,18956000
3.96691898575187,4,0.05,0.5,"normal",14,74,18956000
3.9412308997246,4,0.05,0.5,"normal",14,74,18956000
4.0412700516109,4,0.05,0.5,"normal",14,74,18956000
4.037488730731,4,0.05,0.5,"normal",14,74,18956000
3.9922587478969,4,0.05,0.5,"normal",14,74,18956000
3.99608453042402,4,0.05,0.5,"normal",14,74,18956000
3.89515260632449,4,0.05,0.5,"normal",14,74,18956000
4.01129477099968,4,0.05,0.5,"normal",14,74,18956000
3.9469351788978,4,0.05,0.5,"normal",14,74,18956000
3.98014332535131,4,0.05,0.5,"normal",16,64,18784000
4.01973245729151,4,0.05,0.5,"normal",16,64,18784000
3.98767714053439,4,0.05,0.5,"normal",16,64,18784000
3.98143491161776,4,0.05,0.5,"normal",16,64,18784000
