"beta_hat","beta","gamma","sigma","distribution","g","r"
3.18912786831183,4,0.5,0.5,"normal",4,262
4.18284777104426,4,0.5,0.5,"normal",4,262
4.54509847190937,4,0.5,0.5,"normal",4,262
3.57313487757425,4,0.5,0.5,"normal",4,262
3.68672214095034,4,0.5,0.5,"normal",4,262
4.41651072054428,4,0.5,0.5,"normal",4,262
4.14099621428257,4,0.5,0.5,"normal",4,262
4.63523925486764,4,0.5,0.5,"normal",4,262
4.48288330667494,4,0.5,0.5,"normal",4,262
4.30732309061519,4,0.5,0.5,"normal",4,262
4.13343571962433,4,0.5,0.5,"normal",4,262
4.58866373401072,4,0.5,0.5,"normal",4,262
3.33835362988743,4,0.5,0.5,"normal",4,262
4.06745667412281,4,0.5,0.5,"normal",4,262
4.647591347233,4,0.5,0.5,"normal",4,262
3.72709277141396,4,0.5,0.5,"normal",4,262
4.75334447676979,4,0.5,0.5,"normal",4,262
4.21225488082995,4,0.5,0.5,"normal",4,262
3.97701506987517,4,0.5,0.5,"normal",4,262
4.64877200973207,4,0.5,0.5,"normal",4,262
3.98181132338583,4,0.5,0.5,"normal",4,262
3.28276660839616,4,0.5,0.5,"normal",4,262
5.05845770035495,4,0.5,0.5,"normal",4,262
4.66954032714495,4,0.5,0.5,"normal",4,262
4.03893133261582,4,0.5,0.5,"normal",4,262
3.68958563359259,4,0.5,0.5,"normal",4,262
4.12646403303819,4,0.5,0.5,"normal",4,262
3.31768937599627,4,0.5,0.5,"normal",4,262
3.65809274587137,4,0.5,0.5,"normal",4,262
3.78201185679075,4,0.5,0.5,"normal",4,262
4.63707491064338,4,0.5,0.5,"normal",6,174
3.75674133384445,4,0.5,0.5,"normal",6,174
4.2448190739892,4,0.5,0.5,"normal",6,174
4.19029109360765,4,0.5,0.5,"normal",6,174
3.8014063586448,4,0.5,0.5,"normal",6,174
4.56690668126246,4,0.5,0.5,"normal",6,174
4.32909136708011,4,0.5,0.5,"normal",6,174
3.69286519564568,4,0.5,0.5,"normal",6,174
3.98529961202822,4,0.5,0.5,"normal",6,174
2.85857349523828,4,0.5,0.5,"normal",6,174
3.36918640030504,4,0.5,0.5,"normal",6,174
3.71048782421213,4,0.5,0.5,"normal",6,174
4.00733167984422,4,0.5,0.5,"normal",6,174
3.77231344724031,4,0.5,0.5,"normal",6,174
4.64348167752833,4,0.5,0.5,"normal",6,174
4.514807511754,4,0.5,0.5,"normal",6,174
4.68489899365818,4,0.5,0.5,"normal",6,174
3.62274525641479,4,0.5,0.5,"normal",6,174
4.1791889296266,4,0.5,0.5,"normal",6,174
4.49419416509163,4,0.5,0.5,"normal",6,174
4.13014226046066,4,0.5,0.5,"normal",6,174
4.18139130770736,4,0.5,0.5,"normal",6,174
3.80981782700452,4,0.5,0.5,"normal",6,174
4.0050669595438,4,0.5,0.5,"normal",6,174
3.46947087704378,4,0.5,0.5,"normal",6,174
3.46392653490395,4,0.5,0.5,"normal",6,174
4.00963457322698,4,0.5,0.5,"normal",6,174
4.18192442803864,4,0.5,0.5,"normal",6,174
3.54745728816199,4,0.5,0.5,"normal",6,174
3.90355120542177,4,0.5,0.5,"normal",6,174
3.7227323929076,4,0.5,0.5,"normal",8,130
4.53475129191652,4,0.5,0.5,"normal",8,130
3.75112641762655,4,0.5,0.5,"normal",8,130
3.78901284716309,4,0.5,0.5,"normal",8,130
3.9865468778852,4,0.5,0.5,"normal",8,130
3.69912093079539,4,0.5,0.5,"normal",8,130
3.93541725474603,4,0.5,0.5,"normal",8,130
4.77375692575544,4,0.5,0.5,"normal",8,130
4.48847496635238,4,0.5,0.5,"normal",8,130
3.6719407823833,4,0.5,0.5,"normal",8,130
4.22808183398425,4,0.5,0.5,"normal",8,130
3.39773022053263,4,0.5,0.5,"normal",8,130
4.13451450540887,4,0.5,0.5,"normal",8,130
4.30794710284195,4,0.5,0.5,"normal",8,130
3.75092238929919,4,0.5,0.5,"normal",8,130
3.92103538588571,4,0.5,0.5,"normal",8,130
3.59178546844299,4,0.5,0.5,"normal",8,130
4.36823700182317,4,0.5,0.5,"normal",8,130
4.04139592677157,4,0.5,0.5,"normal",8,130
4.18224830149463,4,0.5,0.5,"normal",8,130
4.01270818652826,4,0.5,0.5,"normal",8,130
3.62912070787183,4,0.5,0.5,"normal",8,130
4.19434687104637,4,0.5,0.5,"normal",8,130
3.72889385261519,4,0.5,0.5,"normal",8,130
3.84246461649281,4,0.5,0.5,"normal",8,130
3.80084629136172,4,0.5,0.5,"normal",8,130
3.43168518207302,4,0.5,0.5,"normal",8,130
3.45851644164486,4,0.5,0.5,"normal",8,130
3.75179432659719,4,0.5,0.5,"normal",8,130
3.70483867660174,4,0.5,0.5,"normal",8,130
4.25951359607197,4,0.5,0.5,"normal",10,104
4.22642301916436,4,0.5,0.5,"normal",10,104
4.47774903131373,4,0.5,0.5,"normal",10,104
3.98424235435933,4,0.5,0.5,"normal",10,104
3.91482745974789,4,0.5,0.5,"normal",10,104
4.2168494242478,4,0.5,0.5,"normal",10,104
3.7667504750746,4,0.5,0.5,"normal",10,104
4.02669821263278,4,0.5,0.5,"normal",10,104
4.15111365785284,4,0.5,0.5,"normal",10,104
3.90656622872827,4,0.5,0.5,"normal",10,104
4.0280865849949,4,0.5,0.5,"normal",10,104
3.877240914647,4,0.5,0.5,"normal",10,104
4.06158764038921,4,0.5,0.5,"normal",10,104
4.13648547342409,4,0.5,0.5,"normal",10,104
