"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
1.85050831864374,4,1,0.5,"poisson",4,9421,1.9e+07
5.03959752774346,4,1,0.5,"poisson",4,9421,1.9e+07
4.0598377849885,4,1,0.5,"poisson",4,9421,1.9e+07
3.68321029325194,4,1,0.5,"poisson",4,9421,1.9e+07
2.04232331428462,4,1,0.5,"poisson",4,9421,1.9e+07
3.45743732468951,4,1,0.5,"poisson",4,9421,1.9e+07
3.86792466680136,4,1,0.5,"poisson",4,9421,1.9e+07
4.85543656143182,4,1,0.5,"poisson",4,9421,1.9e+07
3.75514133561295,4,1,0.5,"poisson",4,9421,1.9e+07
6.0311678850792,4,1,0.5,"poisson",4,9421,1.9e+07
3.27763816454316,4,1,0.5,"poisson",4,9421,1.9e+07
5.18814944967103,4,1,0.5,"poisson",4,9421,1.9e+07
4.49462614266642,4,1,0.5,"poisson",4,9421,1.9e+07
5.40020663708894,4,1,0.5,"poisson",4,9421,1.9e+07
4.71575490438353,4,1,0.5,"poisson",4,9421,1.9e+07
3.98782211265723,4,1,0.5,"poisson",4,9421,1.9e+07
5.61747475121283,4,1,0.5,"poisson",4,9421,1.9e+07
2.54596009177015,4,1,0.5,"poisson",4,9421,1.9e+07
4.30001409619578,4,1,0.5,"poisson",4,9421,1.9e+07
3.90977133068281,4,1,0.5,"poisson",4,9421,1.9e+07
5.8525198731576,4,1,0.5,"poisson",4,9421,1.9e+07
3.47480703968545,4,1,0.5,"poisson",4,9421,1.9e+07
6.54643724888305,4,1,0.5,"poisson",4,9421,1.9e+07
4.74348169224814,4,1,0.5,"poisson",4,9421,1.9e+07
2.78675455273936,4,1,0.5,"poisson",4,9421,1.9e+07
4.95043454657485,4,1,0.5,"poisson",4,9421,1.9e+07
4.61752071169918,4,1,0.5,"poisson",4,9421,1.9e+07
3.67009230930552,4,1,0.5,"poisson",4,9421,1.9e+07
3.66326593973355,4,1,0.5,"poisson",4,9421,1.9e+07
4.282842102317,4,1,0.5,"poisson",4,9421,1.9e+07
1.52645430141679,4,1,0.5,"poisson",4,9421,1.9e+07
1.57285500997458,4,1,0.5,"poisson",4,9421,1.9e+07
4.86533652911739,4,1,0.5,"poisson",4,9421,1.9e+07
5.92818151015698,4,1,0.5,"poisson",4,9421,1.9e+07
5.78458854649096,4,1,0.5,"poisson",4,9421,1.9e+07
4.01774068953627,4,1,0.5,"poisson",4,9421,1.9e+07
5.5340689923783,4,1,0.5,"poisson",4,9421,1.9e+07
5.23401668073291,4,1,0.5,"poisson",4,9421,1.9e+07
4.93136755045781,4,1,0.5,"poisson",4,9421,1.9e+07
2.9735904660118,4,1,0.5,"poisson",4,9421,1.9e+07
3.8495914216799,4,1,0.5,"poisson",4,9421,1.9e+07
4.01907047888276,4,1,0.5,"poisson",4,9421,1.9e+07
2.99610189099938,4,1,0.5,"poisson",4,9421,1.9e+07
3.64672004613227,4,1,0.5,"poisson",4,9421,1.9e+07
2.20455143777556,4,1,0.5,"poisson",4,9421,1.9e+07
3.79331192898927,4,1,0.5,"poisson",4,9421,1.9e+07
6.12478252240488,4,1,0.5,"poisson",4,9421,1.9e+07
3.4677827136251,4,1,0.5,"poisson",4,9421,1.9e+07
4.46118660428643,4,1,0.5,"poisson",4,9421,1.9e+07
3.48540971733291,4,1,0.5,"poisson",4,9421,1.9e+07
4.05885827772324,4,1,0.5,"poisson",4,9421,1.9e+07
4.17197180943751,4,1,0.5,"poisson",4,9421,1.9e+07
4.81341197912383,4,1,0.5,"poisson",4,9421,1.9e+07
1.26629647034875,4,1,0.5,"poisson",4,9421,1.9e+07
3.79028653728281,4,1,0.5,"poisson",4,9421,1.9e+07
3.89579617513396,4,1,0.5,"poisson",4,9421,1.9e+07
3.13933116712942,4,1,0.5,"poisson",4,9421,1.9e+07
3.53979607684974,4,1,0.5,"poisson",4,9421,1.9e+07
5.19564203062371,4,1,0.5,"poisson",4,9421,1.9e+07
3.82188864053292,4,1,0.5,"poisson",4,9421,1.9e+07
5.33226474358595,4,1,0.5,"poisson",4,9421,1.9e+07
5.04987276060091,4,1,0.5,"poisson",4,9421,1.9e+07
4.30474635777241,4,1,0.5,"poisson",4,9421,1.9e+07
5.52080348840425,4,1,0.5,"poisson",4,9421,1.9e+07
3.39284898221609,4,1,0.5,"poisson",4,9421,1.9e+07
4.01401010723388,4,1,0.5,"poisson",4,9421,1.9e+07
4.41783355759901,4,1,0.5,"poisson",4,9421,1.9e+07
4.48129343949484,4,1,0.5,"poisson",4,9421,1.9e+07
4.54922985197178,4,1,0.5,"poisson",4,9421,1.9e+07
3.42707716305271,4,1,0.5,"poisson",4,9421,1.9e+07
4.12082350591082,4,1,0.5,"poisson",4,9421,1.9e+07
4.03089045245001,4,1,0.5,"poisson",4,9421,1.9e+07
5.34187799678341,4,1,0.5,"poisson",4,9421,1.9e+07
3.02119869426401,4,1,0.5,"poisson",4,9421,1.9e+07
3.46668057000042,4,1,0.5,"poisson",4,9421,1.9e+07
1.93178228654965,4,1,0.5,"poisson",4,9421,1.9e+07
4.01302594884451,4,1,0.5,"poisson",4,9421,1.9e+07
3.08863521526134,4,1,0.5,"poisson",4,9421,1.9e+07
3.82289864373702,4,1,0.5,"poisson",4,9421,1.9e+07
4.1878604217203,4,1,0.5,"poisson",4,9421,1.9e+07
1.89593361303063,4,1,0.5,"poisson",4,9421,1.9e+07
3.32846382605804,4,1,0.5,"poisson",4,9421,1.9e+07
6.12433443672378,4,1,0.5,"poisson",4,9421,1.9e+07
2.07998003203723,4,1,0.5,"poisson",4,9421,1.9e+07
5.1651783660341,4,1,0.5,"poisson",4,9421,1.9e+07
2.58518593049254,4,1,0.5,"poisson",4,9421,1.9e+07
4.27057090211763,4,1,0.5,"poisson",4,9421,1.9e+07
5.29237238725243,4,1,0.5,"poisson",4,9421,1.9e+07
5.00386401002718,4,1,0.5,"poisson",4,9421,1.9e+07
5.86456048003771,4,1,0.5,"poisson",4,9421,1.9e+07
3.70494044743311,4,1,0.5,"poisson",4,9421,1.9e+07
4.40393907265467,4,1,0.5,"poisson",4,9421,1.9e+07
4.41387875039396,4,1,0.5,"poisson",4,9421,1.9e+07
5.53278221223061,4,1,0.5,"poisson",4,9421,1.9e+07
4.07052319429882,4,1,0.5,"poisson",4,9421,1.9e+07
5.26724116655387,4,1,0.5,"poisson",4,9421,1.9e+07
4.55579318701857,4,1,0.5,"poisson",4,9421,1.9e+07
2.74676471266281,4,1,0.5,"poisson",4,9421,1.9e+07
1.93383254682023,4,1,0.5,"poisson",4,9421,1.9e+07
4.23878855662488,4,1,0.5,"poisson",4,9421,1.9e+07
6.17316436342092,4,1,0.5,"poisson",6,6254,18999000
4.3920989308311,4,1,0.5,"poisson",6,6254,18999000
4.27529180079945,4,1,0.5,"poisson",6,6254,18999000
4.84214767185903,4,1,0.5,"poisson",6,6254,18999000
3.0724027692061,4,1,0.5,"poisson",6,6254,18999000
3.40154852032548,4,1,0.5,"poisson",6,6254,18999000
4.77637544815747,4,1,0.5,"poisson",6,6254,18999000
