"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.53027730471895,3,0.5,0.5,"normal",5,6,1500000
2.73776978869812,3,0.5,0.5,"normal",5,6,1500000
3.13316360527479,3,0.5,0.5,"normal",5,6,1500000
2.77045952599346,3,0.5,0.5,"normal",5,6,1500000
3.26430468427086,3,0.5,0.5,"normal",5,6,1500000
3.38082574462413,3,0.5,0.5,"normal",6,6,1800000
1.15507888483444,3,0.5,0.5,"normal",6,6,1800000
3.17147744956305,3,0.5,0.5,"normal",6,6,1800000
3.42149633964992,3,0.5,0.5,"normal",6,6,1800000
3.51531516300937,3,0.5,0.5,"normal",6,6,1800000
3.20497810074547,3,0.5,0.5,"normal",7,6,2100000
3.25764717043756,3,0.5,0.5,"normal",7,6,2100000
2.974834930779,3,0.5,0.5,"normal",7,6,2100000
3.12218084927339,3,0.5,0.5,"normal",7,6,2100000
2.64293589175105,3,0.5,0.5,"normal",7,6,2100000
3.17455182015098,3,0.5,0.5,"normal",8,6,2400000
2.47295722738085,3,0.5,0.5,"normal",8,6,2400000
2.48563922313564,3,0.5,0.5,"normal",8,6,2400000
2.50770473143555,3,0.5,0.5,"normal",8,6,2400000
2.54679485962285,3,0.5,0.5,"normal",8,6,2400000
3.42871981646343,3,0.5,0.5,"normal",9,6,2700000
2.98259074431793,3,0.5,0.5,"normal",9,6,2700000
3.12141034360051,3,0.5,0.5,"normal",9,6,2700000
3.10721878467601,3,0.5,0.5,"normal",9,6,2700000
3.35158001911781,3,0.5,0.5,"normal",9,6,2700000
3.05607393198296,3,0.5,0.5,"normal",10,6,3e+06
3.24919791547091,3,0.5,0.5,"normal",10,6,3e+06
3.37446588194739,3,0.5,0.5,"normal",10,6,3e+06
2.78717641403527,3,0.5,0.5,"normal",10,6,3e+06
3.39111699580756,3,0.5,0.5,"normal",10,6,3e+06
3.1807252996747,3,0.5,0.5,"normal",11,6,3300000
3.58301453168603,3,0.5,0.5,"normal",11,6,3300000
3.03439238897544,3,0.5,0.5,"normal",11,6,3300000
2.9481244106291,3,0.5,0.5,"normal",11,6,3300000
3.11514485073943,3,0.5,0.5,"normal",11,6,3300000
3.44721890388089,3,0.5,0.5,"normal",12,6,3600000
3.78856334587874,3,0.5,0.5,"normal",12,6,3600000
2.88756528083081,3,0.5,0.5,"normal",12,6,3600000
